0,1
번째,NNB
평음,NNG
‘,SS
브,NNG
’,SS
가,JKC
되__010401,VV
겠,EP
습니다,EF
.,SF
‘,SS
브,NNG
’,SS
에,JKB
대하__020003,VV
여서,EC
먼저,MAG
공부하,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
자__04,IC
발음하__010000,VV
겠,EP
습니다,EF
.,SF
‘,SS
브,NNG
’,SS
‘,SS
브,NNG
’,SS
자__18,NNB
아무__01,MM
설명하,VV
지,EC
않,VX
겠,EP
습니다,EF
.,SF
여러분,NP
아무__01,MM
생각__010006,NNG
없이,MAG
선생님__000001,NNG
의,JKG
발음__010000,NNG
을,JKO
한번__000101,NNG
듣__010102,VV
어,EC
보__01,VX
세요,EF
.,SF
‘,SS
브,NNG
’,SS
‘,SS
브,NNG
’,SS
자__18,NNB
이__05,MM
소리__010001,NNG
는,JX
입__000001,NNG
모양__020001,NNG
이,JKS
한__01,MM
번__04,NNB
저기__01,NP
는,JX
입__000001,NNG
이,JKS
닫히__000001,VV
어,EC
있__01,VX
잖아요,EF
.,SF
발음하__010000,VV
고,EC
나서__000102,VV
어,EC
결과__020002,NNG
를,JKO
찍__020202,VV
은,ETM
사진__070001,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
그렇__000001,VA
습니다,EF
.,SF
보__010101,VV
시,EP
ㅂ시요,EF
.,SF
열리__020101,VV
었,EP
다가,EC
저__03,NP
의,JKG
입__000001,NNG
모양__020001,NNG
을,JKO
보__010101,VV
시,EP
ㅂ시요,EF
.,SF
‘,SS
브,NNG
’,SS
‘,SS
브,NNG
’,SS
마지막,NNG
에,JKB
닫히__000001,VV
게,EC
되__010401,VV
죠,EF
.,SF
그래서,MAJ
이것,NP
ㄹ,JKO
뭐,NP
이,VCP
라고,EC
그러__000001,VV
냐면,EC
어렵__000101,VA
ㄴ,ETM
이야기__000001,NNG
로,JKB
발음하__010000,VV
ㄹ,ETM
때__010001,NNG
파열,NNG
을,JKO
시키__010001,VV
ㄴ다,EC
그러__000001,VV
ㅂ니다,EC
파열,NNG
.,SF
이렇,VA
게,EC
터트리,VV
는,ETM
것__01,NNB
이,VCP
죠,EC
소리__010001,NNG
를,JKO
그러니까,MAJ
우리__03,NP
가,JKS
폐__020000,NNG
에서,JKB
올라오__000101,VV
ㄴ,ETM
공기__060001,NNG
를,JKO
공기__060001,NNG
가,JKS
이제__01,MAG
구강__020000,NNG
입__000001,NNG
안__010001,NNG
으로,JKB
들__010504,VV
어,EC
가__01,VX
았,EP
다가,EC
이것,NP
을,JKO
닫__020001,VV
고,EC
있__01,VX
다가,EC
‘,SS
브,NNG
’,SS
‘,SS
브,NNG
’,SS
이렇,VA
게,EC
터트리,VV
면서,EC
내__020303,VV
는,ETM
소리__010001,NNG
이,VCP
라,EC
그래서,MAJ
이것,NP
을,JKO
우리__03,NP
가,JKS
어렵__000106,VA
ㄴ,ETM
이야기__000001,NNG
로,JKB
는,JX
파열음,NNG
이,VCP
라고,EC
이야기하__000101,VV
ㅂ니다,EF
.,SF
파열,NNG
.,SF
근데__01,MAJ
터트리,VV
면,EC
어떻,VA
게,EC
되__010401,VV
죠,EF
?,SF
터트리,VV
면,EC
닫히__000001,VV
게,EC
되__010401,VV
어,EC
있__01,VX
습니다,EF
.,SF
그래서,MAJ
보__010101,VV
시,EP
ㅂ시요,EF
.,SF
‘,SS
브,NNG
’,SS
‘,SS
브,NNG
’,SS
터지__000109,VV
었,EP
다가,EC
닫히__000001,VV
죠,EF
.,SF
그래서,MAJ
또,MAG
다른,MM
말__010003,NNG
로,JKB
는,JX
이것,NP
ㄹ,JKO
폐쇄음,NNG
이,VCP
라고,EC
이야기__000001,NNG
를,JKO
하__010101,VV
ㅂ니다,EF
.,SF
그래서,MAJ
제__01,NP
가,JKS
자음__010000,NNG
에,JKB
대하__020003,VV
여서,EC
는,JX
발음하__010000,VV
는,ETM
방법__000001,NNG
과,JC
발음하__010000,VV
는,ETM
위치__010001,NNG
를,JKO
중심__010002,NNG
으로,JKB
두__01,MM
가지__04,NNB
의,JKG
어떤,MM
기준__030000,NNG
을,JKO
가지__000101,VV
고,EC
말씀__000002,NNG
을,JKO
드리__010002,VV
는데,EC
먼저,MAG
발음하__010000,VV
는,ETM
방법__000001,NNG
파열,NNG
터트리,VV
는,ETM
방법__000001,NNG
을,JKO
이야기__000001,NNG
하__010101,VV
였,EP
구,EC
여,EF
.,SF
그__01,MM
다음__010004,NNG
에,JKB
위치__010001,NNG
는,JX
어떻,VA
게,EC
되__010401,VV
냐면,EC
이것,NP
ㄴ,JX
어디__01,NP
서,JKB
나__010403,VV
는,ETM
소리__010001,NNG
이,VCP
ㅂ니까,EF
?,SF
입술__000001,NNG
",",SP
입술__000001,NNG
에서,JKB
나__010403,VV
는,ETM
소리__010001,NNG
이,VCP
ㅂ니다,EF
.,SF
그래서,MAJ
양쪽,NNG
의,JKG
입술__000001,NNG
을,JKO
쓰__030203,VV
ㄴ다,EC
그래서,MAJ
양순음,NNG
이,VCP
라고,EC
이야기__000001,NNG
를,JKO
하__010101,VV
ㅂ니다,EF
.,SF
그래서,MAJ
파열음,NNG
이,VCP
고,EC
양순음,NNG
이,VCP
라고,EC
이야기__000001,NNG
를,JKO
하__010101,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
습니다,EF
.,SF
자__04,IC
발음__010000,NNG
기호__010000,NNG
는,JX
영어__02,NNP
의,JKG
p,SL
라고,JKQ
쓰__010102,VV
었,EP
는데,EC
이거__01,NP
는,JX
정말__01,MAG
마음__010002,NNG
에,JKB
안__02,MAG
들__010206,VV
ㅂ니다,EF
.,SF
저__03,NP
는,JX
p,SL
로,JKB
표기하__010001,VV
기,ETN
가,JKS
어렵__000106,VA
습니다,EC
지금__030000,NNG
왜__02,MAG
이,VCP
냐면,EC
p,SL
로,JKB
표기하__010001,VV
면,EC
자꾸__01,MAG
어떻,VA
게,EC
발음__010000,NNG
하__010101,VV
ㄹ려고,EC
그러__000001,VV
ㅂ니다,EF
?,SF
‘,SS
프,NNP
’,SS
이렇,VA
게,EC
발음__010000,NNG
하__010101,VV
려고,EC
하__01,VX
는데,EC
이__05,MM
‘,SS
프,NNP
’,SS
와,JC
‘,SS
브,NNG
’,SS
는,JX
다른,MM
소리__010001,NNG
이,VCP
ㅂ니다,EC
다른,MM
소리__010001,NNG
한국어,NNP
에서,JKB
한국어,NNP
만,JX
의,JKG
특이하__000001,VA
ㄴ,ETM
소리__010001,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
여러분,NP
이,JKS
이거__01,NP
를,JKO
p,SL
라고,JKQ
생각하__000101,VV
는,ETM
것__01,NNB
발음__010000,NNG
기호__010000,NNG
p,SL
라고,JKQ
생각하__000101,VV
는,ETM
거__01,NNB
는,JX
별로__01,MAG
좋__010201,VA
지,EC
가,JX
않,VX
은데,EC
우리__03,NP
가,JKS
표기하__010001,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
는,ETM
방법__000001,NNG
이,JKS
이것,NP
밖에,JX
없__010106,VA
습니다,EF
.,SF
왜__02,MAG
이,VCP
냐면,EC
여기__01,NP
있__010302,VA
는,ETM
성대__080000,NNG
가,JKS
떨리__010001,VV
지,EC
않,VX
는,ETM
소리__010001,NNG
그것,NP
ㄹ,JKO
우리__03,NP
가,JKS
뭐,NP
이,VCP
라,EC
그러__000001,VV
냐면,EC
무성음,NNG
이,VCP
라고,EC
이야기하__000101,VV
ㅂ니다,EF
.,SF
무성음,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
이것,NP
을,JKO
영어__02,NNP
의,JKG
b,SL
로,JKB
표시하__020000,VV
ㄹ,ETM
수__02,NNB
는,JX
없__010106,VA
기,ETN
때문,NNB
이,VCP
ㅂ니다,EF
.,SF
b,SL
로,JKB
표시하__020000,VV
면,EC
유성음,NNG
이,JKC
되__010401,VV
어서,EC
‘,SS
므,NNG
’,SS
?,SF
?,SF
‘,SS
므,NNG
’,SS
?,SF
?,SF
이렇,VA
게,EC
발음하__010000,VV
여야,EC
되__010401,VV
기,ETN
때문,NNB
에,JKB
그__01,MM
소리__010001,NNG
가,JKC
아니,VCN
기,ETN
때문,NNB
에,JKB
여러분,NP
나라__010001,NNG
언어__010000,NNG
에,JKB
는,JX
이__05,MM
소리__010001,NNG
가,JKS
존재하__000001,VV
지,EC
않,VX
을,ETM
것__01,NNB
이,VCP
에요,EF
.,SF
거의__01,MAG
존재하__000001,VV
지,EC
않,VX
기,ETN
때문,NNB
에,JKB
한국어,NNP
의,JKG
특별하,VA
ㄴ,ETM
소리__010001,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
이렇,VA
게,EC
설명,NNG
이,JKS
길__020002,VA
어,EC
지__04,VX
었,EP
고,EC
발음__010000,NNG
기호__010000,NNG
p,SL
로,JKB
표시하__010000,VV
는,ETM
걸__020101,VV
는,ETM
굉장히,MAG
불만,NNG
이,VCP
다,EF
.,SF
근데__01,MAJ
그렇__000001,VA
게,EC
밖__000004,NNG
에,JKB
표시하__010000,VV
ㄹ,ETM
수__02,NNB
밖에,JX
없__010106,VA
다,EC
그런__01,MM
설명,NNG
을,JKO
드리__010001,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
겠,EP
습니다,EF
.,SF
자__04,IC
그러면,MAJ
이제__010000,NNG
까지,JX
두__01,MM
원어민,NNG
선생님__000001,NNG
이,JKS
저__03,NP
의,JKG
설명,NNG
을,JKO
잘__02,MAG
듣__010201,VV
었,EP
는데,EC
주은,NNP
선생님__000001,NNG
한번__000101,NNG
발음하__010000,VV
여,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
예__080001,NNG
그렇__000001,VA
죠,EC
지금__03,MAG
정확히__01,MAG
무성음,NNG
으로,JKB
발음하__010000,VV
였,EP
어요,EF
.,SF
자__04,IC
창익,NNP
선생님__000001,NNG
.,SF
예__080001,NNG
좋__010201,VA
습니다,EF
.,SF
‘,SS
브,NNG
’,SS
‘,SS
브,NNG
’,SS
이렇,VA
게,EC
발음하__010000,VV
시,EP
면,EC
되__010401,VV
ㅂ니다,EF
.,SF
자__04,IC
파열,NNG
과,JC
그__01,MM
다음__010004,NNG
에,JKB
뭐,NP
이,VCP
다,EF
?,SF
입술__000001,NNG
이,JKS
두__01,MM
입술__000001,NNG
을,JKO
쓰__030203,VV
어서,EC
발음하__010000,VV
는,ETM
소리__010001,NNG
이,VCP
다,EC
그것,NP
을,JKO
여러분,NP
이,JKS
잘__02,MAG
기억하__020000,VV
였,EP
으면,EC
좋__010201,VA
겠,EP
습니다,EF
.,SF
자__04,IC
철자__030000,NNG
는,JX
요__03,MM
.,SF
하나,NR
둘__01,NR
셋,NR
넷__01,NR
이렇,VA
게,EC
되__010401,VV
죠,EF
.,SF
좀__02,MAG
복잡하__000001,VA
죠,EF
.,SF
이렇,VA
게,EC
이렇,VA
게,EC
쓰__030101,VV
는,ETM
것__01,NNB
이,JKC
아니,VCN
라,EC
하나,NR
둘__01,NR
셋,NR
넷__01,NR
이렇,VA
게,EC
쓰__010102,VV
게,EC
되__010401,VV
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
자__03,NNB
두__01,MM
번째,NNB
는,JX
이제__01,MAG
‘,SS
드,NNP
’,SS
이,VCP
ㅂ니다,EF
.,SF
‘,SS
드,NNP
’,SS
‘,SS
드,NNP
’,SS
발음__010000,NNG
이,JKS
내__020303,VV
는,ETM
방법__000001,NNG
을,JKO
다음__010002,NNG
페이지__000001,NNG
에서,JKB
제__01,NP
가,JKS
좀__02,MAG
더__01,MAG
자세히,MAG
설명,NNG
을,JKO
드리__010001,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
‘,SS
드,NNP
’,SS
‘,SS
드,NNP
’,SS
자__18,NNB
이__05,MM
‘,SS
드,NNP
’,SS
도,JX
입__000001,NNG
모양__020001,NNG
을,JKO
보__010101,VV
세요,EF
.,SF
저__03,NP
의,JKG
입__000001,NNG
모양__020001,NNG
을,JKO
한__01,MM
번__04,NNB
보__010101,VV
세요,EF
.,SF
‘,SS
드,NNP
’,SS
‘,SS
드,NNP
’,SS
이것,NP
이,JKS
결과__020002,NNG
만,JX
을,JKO
찍__020101,VV
었,EP
기,ETN
때문,NNB
에,JKB
정확히__01,MAG
나오__000101,VV
지,EC
않,VX
는데,EC
자__140001,NNG
‘,SS
드,NNP
’,SS
이,VCP
요,EC
‘,SS
드,NNP
’,SS
는,JX
중요하__020000,VA
ㄴ,ETM
것__01,NNB
이,JKS
뭐,NP
이,VCP
냐면,EC
‘,SS
드,NNP
’,SS
위치__010001,NNG
이__05,MM
‘,SS
드,NNP
’,SS
를,JKO
내__020303,VV
는,ETM
위치__010001,NNG
가,JKS
굉장히,MAG
중요하__020000,VA
ㅂ니다,EF
.,SF
자__04,IC
혀__010001,NNG
가,JKS
그__01,MM
부분__010000,NNG
을,JKO
탁__01,MAG
때리__010001,VV
어야,EC
되__010401,VV
ㅂ니다,EF
.,SF
자__04,IC
어떤,MM
위치__010001,NNG
냐,NNG
이,VCP
면,EC
은,JX
여러분,NP
혀__010001,NNG
를,JKO
가지__000101,VV
고,EC
저__03,NP
를,JKO
따르__010101,VV
아,EC
하__010101,VV
여,EC
보__01,VX
세요,EF
.,SF
혀__010001,NNG
를,JKO
가지__000101,VV
고,EC
윗니,NNG
에,JKB
혀__010001,NNG
를,JKO
대__010301,VV
고,EC
혀__010001,NNG
를,JKO
말__010002,VV
아,EC
보__01,VX
시,EP
ㅂ시요,EF
.,SF
말__030001,VV
아,EC
보__01,VX
면,EC
윗니,NNG
에,JKB
잇몸,NNG
하고,JKB
이__030001,NNG
가,JKS
경계__040002,NNG
가,JKC
되__010401,VV
는,ETM
부분__010000,NNG
이,JKS
있__010302,VA
습니다,EF
.,SF
거기__01,NP
를,JKO
우리__03,NP
가,JKS
치조__030000,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EC
혹은,MAG
치경__060000,NNG
이,VCP
라고,EC
하__010701,VV
는데,EC
그__01,MM
위치__010001,NNG
에,JKB
혀__010001,NNG
를,JKO
대__010301,VV
었,EP
다가,EC
떼__010202,VV
면서,EC
내__020303,VV
는,ETM
소리__010001,NNG
이,VCP
ㅂ니다,EF
.,SF
그__01,MM
위치__010001,NNG
가,JKS
혀__010001,NNG
가,JKS
닿__010101,VV
아야,EC
되__010401,VV
ㅂ니다,EF
.,SF
한번__000101,NNG
하__010101,VV
여,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
‘,SS
드,NNP
’,SS
그렇__000001,VA
지요,EF
?,SF
그__01,MM
위치__010001,NNG
에,JKB
혀__010001,NNG
를,JKO
치조__030000,NNG
에,JKB
한번__000102,NNG
대__010304,VV
어,EC
보__01,VX
세요,EF
.,SF
떼__010202,VV
면서,EC
‘,SS
드,NNP
’,SS
떼__010101,VV
ㄴ다는,ETM
걸__020101,VV
는,ETM
파열,NNG
을,JKO
시키__010001,VV
ㄴ다는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
그래서,MAJ
이것,NP
을,JKO
우리__03,NP
가,JKS
뭐,NP
이,VCP
라,EC
그러__000001,VV
냐면,EC
치조음,NNG
이,VCP
라고,EC
이야기하__000101,VV
고,EC
치조음,NNG
이,VCP
라고,EC
하__010701,VV
고,EC
역시__01,MAG
이것,NP
도,JX
파열음,NNG
파열,NNG
이,VCP
라고,EC
하__010701,VV
는,ETM
거__01,NNB
는,JX
입__000001,NNG
안__010001,NNG
에,JKB
있__010401,VA
는,ETM
공기__060001,NNG
를,JKO
밖__000001,NNG
으로,JKB
내보내__000101,VV
면서,EC
내__020303,VV
는,ETM
소리__010001,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
이것,NP
을,JKO
치조음,NNG
이,VCP
고,EC
파열음,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
자__04,IC
‘,SS
드,NNP
’,SS
이,VCP
라는,ETM
발음__010000,NNG
의,JKG
핵심,NNG
은,JX
위치__010002,NNG
에,JKB
있__010302,VA
습니다,EF
.,SF
혀__010001,NNG
가,JKS
치조__030000,NNG
부분__010000,NNG
을,JKO
때리__010001,VV
면서,EC
때리__010001,VV
었,EP
다가,EC
떼__010202,VV
면서,EC
내__020303,VV
는,ETM
소리__010001,NNG
이,VCP
ㅂ니다,EF
.,SF
‘,SS
드,NNP
’,SS
‘,SS
드,NNP
’,SS
알__000101,VV
시,EP
겠,EP
죠,EF
?,SF
자__04,IC
그러면,MAJ
원어민,NNG
의,JKG
발음__010000,NNG
을,JKO
듣__010201,VV
어,EC
보__01,VX
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
주은,NNP
씨__07,NNB
.,SF
예__080001,NNG
혀__010001,NNG
의,JKG
위치__010001,NNG
가,JKS
느끼__020004,VV
어,EC
지__04,VX
세요,EF
?,SF
자__04,IC
우리__03,NP
창익,NNP
씨__07,NNB
혀__010001,NNG
의,JKG
위치__010001,NNG
를,JKO
잘__02,MAG
느끼__020002,VV
면서,EC
발음하__010000,VV
여,EC
보__01,VX
ㅂ시다,EF
.,SF
예__04,MM
잘__02,MAG
하__010101,VV
시,EP
었,EP
습니다,EF
.,SF
아주__01,MAG
잘__02,MAG
하__010101,VV
였,EP
습니다,EF
.,SF
혀__010001,NNG
의,JKG
위치__010001,NNG
를,JKO
느끼__020002,VV
면,EC
정확하__010000,VA
ㄴ,ETM
발음__010000,NNG
을,JKO
내__020203,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
자__04,IC
그래서,MAJ
순서__000001,NNG
는,JX
하나,NR
둘__01,NR
",",SP
하나,NR
둘__01,NR
이렇,VA
게,EC
순서__000002,NNG
를,JKO
쓰__010102,VV
시,EP
면,EC
되__010401,VV
겠,EP
습니다,EF
.,SF
세__01,MM
번째,NNB
는,JX
이제__01,MAG
‘,SS
즈__03,NP
’,SS
이,VCP
ㄴ데,EC
‘,SS
즈__03,NP
’,SS
‘,SS
즈__03,NP
’,SS
이거__01,NP
는,JX
이제__01,MAG
‘,SS
즈__03,NP
’,SS
는,JX
발음__010000,NNG
이,JKS
약간,MAG
어렵__000101,VA
ㄴ데요,EC
우선__02,MAG
제__01,NP
가,JKS
‘,SS
즈__03,NP
’,SS
발음하__010000,VV
였,EP
으니까,EC
다음__010004,NNG
에,JKB
좀__02,MAG
자세히,MAG
설명하,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
자__04,IC
발음__010000,NNG
기호__010000,NNG
자체__020002,NNG
도,JX
아주__01,MAG
이상하__000001,VA
게,EC
생기__000200,VV
었,EP
습니다,EF
.,SF
t,SL
자__140001,NNG
에다가,JKB
돼지__000001,NNG
꼬리__010001,NNG
처럼,JKB
꼬리__010001,NNG
가,JKS
요렇,VA
게,EC
달리__040201,VV
었,EP
는데,EC
자__04,IC
이거__01,NP
는,JX
뭐,NP
이,VCP
냐면,EC
자__140001,NNG
위치__010001,NNG
가,JKS
다시__01,MAG
한__01,MM
번__04,NNB
설명하,VV
겠,EP
습니다,EF
.,SF
아까,MAG
제__01,NP
가,JKS
치조__030000,NNG
이,VCP
라고,EC
하__010701,VV
였,EP
죠,EC
치조__030000,NNG
이,VCP
라고,EC
하__010701,VV
였,EP
으면,EC
거기__01,NP
서,JKB
혀__010001,NNG
를,JKO
좀__02,MAG
더__01,MAG
안쪽__000001,NNG
으로,JKB
말__030001,VV
면,EC
딱딱하__010001,VA
ㄴ,ETM
부위__040000,NNG
가,JKS
나오__000101,VV
ㅂ니다,EF
.,SF
입천장,NNG
이,VCP
라고,EC
이야기하__000101,VV
는데,EC
거기__01,NP
를,JKO
우리__03,NP
가,JKS
뭐,NP
이,VCP
라,EC
그러__000001,VV
냐면,EC
딱딱하__010001,VA
ㄴ,ETM
입천장,NNG
그래서,MAJ
경구개,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
경__140001,NNG
이,VCP
라는,ETM
것__01,NNB
이,JKS
딱딱하__010001,VA
다는,ETM
말__010010,NNG
이,VCP
에요,EF
.,SF
그__01,MM
말__010003,NNG
은,JX
모르__000101,VV
아도,EC
좋__010203,VA
습니다,EF
.,SF
경구개,NNG
딱딱하__010001,VA
ㄴ,ETM
입천장,NNG
그래서,MAJ
이거__01,NP
는,JX
딱딱하__010001,VA
ㄴ,ETM
입천장,NNG
소리__010001,NNG
이,VCP
라고,EC
하__010701,VV
여서,EC
그리하,VV
여서,EC
이것,NP
ㄹ,JKO
아까,MAG
치조__030000,NNG
있__010302,VA
죠,EC
치조__020000,NNG
와,JC
그__01,MM
다음__010004,NNG
에,JKB
나오__000101,VV
는,ETM
딱딱하__010001,VA
ㄴ,ETM
입천장,NNG
그래서,MAJ
치조음,NNG
은,JX
치조음,NNG
이,VCP
ㄴ데,EC
치조__030000,NNG
경구개음,NNG
이,VCP
라고,EC
이야기하__000101,VV
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
그러니까,MAJ
아까,MAG
나오__000101,VV
ㄴ,ETM
‘,SS
드,NNP
’,SS
보다,JKB
는,JX
혀__010001,NNG
를,JKO
좀__02,MAG
더__01,MAG
안쪽__000001,NNG
의,JKG
대__010301,VV
면서,EC
내__020303,VV
는,ETM
소리__010001,NNG
이,VCP
ㅂ니다,EF
.,SF
그래서,MAJ
보__010101,VV
시,EP
ㅂ시요,EF
.,SF
‘,SS
즈__03,NP
’,SS
‘,SS
즈__03,NP
’,SS
이렇,VA
게,EC
내__020303,VV
는,ETM
‘,SS
즈__03,NP
’,SS
혀__010001,NNG
가,JKS
그__01,MM
위치__010001,NNG
아까,MAG
위치__010001,NNG
보다,JKB
는,JX
좀__02,MAG
더__01,MAG
안쪽__000001,NNG
으로,JKB
거기__01,NP
ㄹ,JKO
이제__01,MAG
치조__020000,NNG
와,JC
경구개,NNG
그래서,MAJ
어떤,MM
사람__000001,NNG
은,JX
이것,NP
ㄹ,JKO
경구개음,NNG
이,VCP
라고,EC
하__010701,VV
는데,EC
그__01,MM
위치__010001,NNG
에,JKB
내__020303,VV
는,ETM
소리__010001,NNG
이,VCP
ㅂ니다,EF
.,SF
그런데,MAJ
발음하__010000,VV
는,ETM
방법__000001,NNG
발음하__010000,VV
는,ETM
위치__010001,NNG
는,JX
바로__02,MAG
거기__01,NP
이,VCP
ㄴ데,EC
발음하__010000,VV
는,ETM
방법__000001,NNG
좀__02,MAG
어렵__000106,VA
습니다,EF
.,SF
한번__000101,NNG
하__010101,VV
여,EC
보__01,VX
시,EP
ㅂ시요,EF
.,SF
‘,SS
즈__03,NP
’,SS
‘,SS
즈__03,NP
’,SS
이거__01,NP
는,JX
뭐,NP
이,VCP
냐면,EC
그냥,MAG
공기__060001,NNG
를,JKO
내보내__000101,VV
는데,EC
그냥,MAG
내보내__000101,VV
는,ETM
것__01,NNB
이,JKC
아니,VCN
라,EC
마찰__000002,NNG
을,JKO
하__010101,VV
는,ETM
동시__020001,NNG
에,JKB
파열,NNG
을,JKO
하__010101,VV
는,ETM
거__01,NNB
마찰__000001,NNG
과,JC
동시__020001,NNG
에,JKB
파열,NNG
을,JKO
하__010101,VV
기,ETN
때문,NNB
에,JKB
이거__01,NP
를,JKO
뭐,NP
이,VCP
라,EC
그러__000001,VV
냐면,EC
파찰음,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
그러니까,MAJ
방법__000001,NNG
